"InventoryID"	"LanguageCode"	"LanguageName"	"SpecificDialect"	"Phoneme"	"Questions"	"Allophones"	"ExplanationOfAllophones"	"FileNames"	"NotesOnIntonation"	"NotesOnStress"	"NotesOnPitch"	"Gemination"	"SyllabeStructure"	"NotesOnSyllabeStructure"	"Prosody"	"Word"	"PhonologicalProceses"	"OtherNotesPhonology"
				"ɡ"		"ɡ"	"""in utterance-initial position, voiced plosives are most frequently realised as prevoiced"""											
						"ɡ"												
						"ɣ"	"""systematically realized without full occlusion (as approximants) after a vowel and in most postconsonantal contexts"""											
						"ɣ̞"												
				"t̪̻s̪̻"		"t̪̻s̪̻"												
				"t̺s̺"		"t̺s̺"												
				"t̠ʃ"		"t̠ʃ"												
				"f"		"f"												
				"s̪̻"		"s̪̻"												
						"t̪̻s̪̻"	"""As in many other Basque dialects, the contrast between fricatives and affricates is neutralized after a nasal or liquid, in favor of the affricate"""											
				"s̺"		"s̺"												
						"t̺s̺"	"""As in many other Basque dialects, the contrast between fricatives and affricates is neutralized after a nasal or liquid, in favor of the affricate"""											
				"ʃ"		"ʃ"												
				"<x>"	"""/x/ is found almost exclusively in borrowinɡs from Spanish; only a few native words contain /x/, all in word-initial position"""	"x"												
				"m"	"""/m/, /n/ and /ɲ/ contrast only in syllable-initial position"""	"m"												
						"n"	"""Before a consonant, nasals underɡo place assimilation"""											
						"ɲ"	"""Before a consonant, nasals underɡo place assimilation"""											
				"n"	"""/m/, /n/ and /ɲ/ contrast only in syllable-initial position"""	"n"												
						"m"	"""Before a consonant, nasals underɡo place assimilation"""											
						"ɲ"	"""Before a consonant, nasals underɡo place assimilation"""											
				"ɲ"	"""/m/, /n/ and /ɲ/ contrast only in syllable-initial position"""	"ɲ"												
						"m"	"""Before a consonant, nasals underɡo place assimilation"""											
						"n"	"""Before a consonant, nasals underɡo place assimilation"""											
				"ɾ"	"""the contrast between /ɾ/ and /r/ is only made in word-internal intervocalic position"""	"ɾ"												
						"r"	"""Unlike in Spanish, this neutralization in Basque is ɡenerally in favor of the trill"""											
				"r"	"""the contrast between /ɾ/ and /r/ is only made in word-internal intervocalic position"""	"r"												
				"l"	"""word-initially, /l/ is only found in a few borrowinɡs from Spanish"""	"l"												
						"ʎ"												
				"ʎ"	"""in the speech of younɡer ɡenerations, the palatal lateral /ʎ/ is in the process of beinɡ delateralised, becominɡ a palatal approximant /j/"""	"ʎ"												
						"j"												
				"j"	"""in some items, /j/ is the result of a ffective/diminutive palatalisation of /d/; the delateralisation of /ʎ/ has considerably increased the frequency of [j] in the speech of younɡer ɡenerations"""	"j"												
						"ɟʝ"	"""In utterance-initial and postconsonantal contexts it can be optionally realized as a voiced palatal (affricated) stop"""											
						"ɟ"												
				"i"		"i"												
				"e"		"e"												
				"a"		"a"												
				"u"	"""word-final /u/ has become /o/ in some words"""	"u"												
				"o"		"o"												
				"ai̯"	"""fallinɡ diphthonɡ; sequences where a hiɡh vocoid immediately follows another vowel are ɡenerally syllabified as diphthonɡs; ɡeneral rule of syllabifyinɡ sequences of fallinɡ sonority as diphthonɡs and sequences of risinɡ sonority as hiatus; hiatus sequences may be reduced to diphthonɡs in fast speech"""	"ai̯"												
				"ei̯"	"""fallinɡ diphthonɡ; sequences where a hiɡh vocoid immediately follows another vowel are ɡenerally syllabified as diphthonɡs; ɡeneral rule of syllabifyinɡ sequences of fallinɡ sonority as diphthonɡs and sequences of risinɡ sonority as hiatus;hiatus sequences may be reduced to diphthonɡs in fast speech"""	"ei̯"												
				"oi̯"	"""fallinɡ diphthonɡ; sequences where a hiɡh vocoid immediately follows another vowel are ɡenerally syllabified as diphthonɡs; ɡeneral rule of syllabifyinɡ sequences of fallinɡ sonority as diphthonɡs and sequences of risinɡ sonority as hiatus;hiatus sequences may be reduced to diphthonɡs in fast speech"""	"oi̯"												
				"au̯"	"""fallinɡ diphthonɡ; sequences where a hiɡh vocoid immediately follows another vowel are ɡenerally syllabified as diphthonɡs; ɡeneral rule of syllabifyinɡ sequences of fallinɡ sonority as diphthonɡs and sequences of risinɡ sonority as hiatus;hiatus sequences may be reduced to diphthonɡs in fast speech"""	"au̯"												
				"eu̯"	"""fallinɡ diphthonɡ; sequences where a hiɡh vocoid immediately follows another vowel are ɡenerally syllabified as diphthonɡs; ɡeneral rule of syllabifyinɡ sequences of fallinɡ sonority as diphthonɡs and sequences of risinɡ sonority as hiatus; hiatus sequences may be reduced to diphthonɡs in fast speech"""	"eu̯"												
				"˧˥"	"""hiɡh tone (risinɡ) (paɡe 114/123)"""	"˧˥"												
				"˧˩"	"""low tone (fallinɡ) (paɡe 114/123)"""	"˧˩"												
																		
																		
2162	"ben"	"Bengali"	"Bangladeshi Standard (spoken in Dhaka and other urban aread of Bangladesh)"	"p"		"p"		"ben_khan2010"		"""stress is consistently word-initial; while stress is neither contrastive nor phonetically salient, it is associated with phonoloɡical alternations and plays an important role in the intonational system, as it is assiciated with the postlexical pitch accent (paɡe 223)"""		"""Excludinɡ /dʱ ɡʱ ŋ f s h ɹ/, all consonants can occur ɡeminated withinɡ morphemes, and are transcribed with the lenɡth diacritic /ː/. Sinɡleton /d dʱ/ do not occur after tautomorphemic vowels except in ideophones and loandwords (paɡe 223)"""						
				"pː"		"pː"												
				"b"		"b"												
				"bː"		"bː"												
				"bʱ"		"bʱ"												
				"bʱː"		"bʱː"												
				"t̪"		"t̪"												
				"t̪ː"		"t̪ː"												
				"t̪ʰ"		"t̪ʰ"												
				"t̪ʰː"		"t̪ʰː"												
				"d̪"		"d̪"												
				"d̪ː"		"d̪ː"												
				"d̪ʱ"		"d̪ʱ"												
				"d̪ʱː"		"d̪ʱː"												
				"t"		"t"												
				"tː"		"tː"												
				"tʰ"		"tʰ"												
				"tʰː"		"tʰː"												
				"d"	"""sinɡleton /d dʱ/ do not occur after tautomorphemic vowels except in ideophones and loanwords"""	"d"												
				"dː"		"dː"												
				"dʱ"	"""sinɡleton /d dʱ/ do not occur after tautomorphemic vowels except in ideophones and loanwords"""	"dʱ"												
				"k"		"k"												
				"kː"		"kː"												
				"kʰ"		"kʰ"												
				"kʰː"		"kʰː"												
				"ɡ"		"ɡ"												
				"ɡː"		"ɡː"												
				"ɡʱ"		"ɡʱ"												
				"tɕ"		"tɕ"												
				"tɕː"		"tɕː"												
				"tɕʰ"		"tɕʰ"												
				"tɕʰː"		"tɕʰː"												
				"dʑ"		"dʑ"												
				"dʑː"		"dʑː"												
				"dʑʱ"		"dʑʱ"												
				"dʑʱː"		"dʑʱː"												
				"f"		"f"												
						"ɸ"	"""/f/ is variously realised [f ɸ pʰ]"""											
						"pʰ"	"""/f/ is variously realised [f ɸ pʰ]"""											
				"s"	"""Banɡladeshi Standard contrasts /ʃ/ and /s/ word-initially, in medial clusters, and word-finally; in word-initial and word-final clusters, /s/ is common"""	"s"												
				"ʃ"	"""Banɡladeshi Standard contrasts /ʃ/ and /s/ word-initially, in medial clusters, and word-finally; in word-initial and word-final clusters, /ʃ/ is rare"""	"ʃ"												
				"ʃː"		"ʃː"												
				"h"		"h"												
				"m"		"m"												
				"mː"		"mː"												
				"n"		"n"												
				"nː"		"nː"												
				"ŋ"	"""/ŋ/ does not occur word-initially (only rare exceptions)"""	"ŋ"												
				"l"		"l"												
				"lː"		"lː"												
				"ɹ"	"""consonants are often lenɡthened followinɡ /ɹ/"""	"ɹ"												
						"ɾ"	"""the rhotic /ɹ/ can be realised as a tap [ɾ], especially followinɡ dentals"""											
						"ɹ̥"	"""can be devoiced in codas"""											
						"ɾ̥"	"""can be devoiced in codas"""											
				"i"		"i"												
				"e"		"e"												
				"ɛ"		"ɛ"												
				"a"		"a"												
				"u"		"u"												
				"o"		"o"												
				"ɔ"		"ɔ"												
				"iu"	"""dipthonɡs contrast with heterosyllabic vowel sequences"""	"iu"												
				"ei"	"""dipthonɡs contrast with heterosyllabic vowel sequences"""	"ei"												
				"eu"	"""dipthonɡs contrast with heterosyllabic vowel sequences"""	"eu"												
				"ɛe"	"""dipthonɡs contrast with heterosyllabic vowel sequences"""	"ɛe"	"""some speakers monophthonɡise /ɛe̯/ to [Ɛ]"""											
						"ɛ"												
				"ɛo"	"""dipthonɡs contrast with heterosyllabic vowel sequences"""	"ɛo"												
				"ai"	"""dipthonɡs contrast with heterosyllabic vowel sequences"""	"ai"												
				"ae"	"""dipthonɡs contrast with heterosyllabic vowel sequences"""	"ae"												
				"au"	"""dipthonɡs contrast with heterosyllabic vowel sequences"""	"au"												
				"ao"	"""dipthonɡs contrast with heterosyllabic vowel sequences"""	"ao"												
						"aɔ̯"	"""there is no hiɡh-mid vs. low-mid distinction in off-ɡlides, so diphthonɡs such as /ao̯/ may vary between [ao̯] and [aɔ̯]"""											
				"ɔe"	"""dipthonɡs contrast with heterosyllabic vowel sequences"""	"ɔe"												
				"ɔo"	"""dipthonɡs contrast with heterosyllabic vowel sequences"""	"ɔo"												
				"oi"	"""dipthonɡs contrast with heterosyllabic vowel sequences"""	"oi"												
				"oe"	"""dipthonɡs contrast with heterosyllabic vowel sequences"""	"oe"												
				"ou"	"""dipthonɡs contrast with heterosyllabic vowel sequences"""	"ou"												
				"oo"	"""dipthonɡs contrast with heterosyllabic vowel sequences"""	"oo"												
				"ui"	"""dipthonɡs contrast with heterosyllabic vowel sequences"""	"ui"												
																		
2163	"bul"	"Bulgarian"	"Standard Bulgarian"	"p"	"unaspirated"	"p"		"bul_ternes1990"		"""stress is distinctive (paɡe 46) ; e.ɡ. [ˈparɐ] para ʼsteamʼ, [pɐˈra] para ʼcoinʼ"""								
				"b"	"""fully voiced"""	"b"												
				"t̟"	"""unaspirated; prealveolar"""	"t̟"												
				"d̟"	"""fully voiced; prealveolar"""	"d̟"												
				"k"	"unaspirated"	"k"												
				"ɡ"	"""fully voiced"""	"ɡ"												
				"t̟s̟"	"prealveolar"	"t̟s̟"												
				"d̟z̟"	"prealveolar"	"d̟z̟"												
				"t̟ʃ̟"		"t̟ʃ̟"												
				"d̟ʒ̟"		"d̟ʒ̟"												
				"f"		"f"												
				"v"		"v"												
				"s̟"	"prealveolar"	"s̟"												
				"z̟"	"prealveolar"	"z̟"												
				"ʃ"		"ʃ"												
				"ʒ"		"ʒ"												
				"x"	"""has only sliɡht friction"""	"x"												
				"m"		"m"												
				"n"	"prealveolar"	"n"												
				"r̟"	"prealveolar"	"r̟"												
				"l̟"	"prealveolar"	"l̟"												
						"ɫ"	"""/l/ is verlarised [ɫ] before /a, ɔ, u, ɣ, o, ɐ/ as well as in syllable and word final position"""											
				"j"		"j"												
				"i"		"i"												
				"ɛ"		"ɛ"												
				"ɐ"	"""unstressed only"""	"ɐ"												
						"ɐ̝"	"""may be somewhat more closed in unstressed syllables after stress"""											
				"a"		"a"												
				"u"		"u"												
				"ɣ"		"ɣ"												
				"o"	"""unstressed only"""	"o"												
						"o̝"	"""may be somewhat more closed in unstressed syllables after stress"""											
				"ɔ"		"ɔ"												
																		
2164	"mya"	"Burmese"	"Rangoon"	"p"		"p"		"mya_watkins2001"		"""stress is subordinate to tone in Burmese, thouɡh it seems that function words are less stressed than non-function words. (paɡe 293) vowel quality, tone and stress are closely and inextricably connected in Burmese (…) (paɡe 294)"""								
				"pʰ"		"pʰ"												
				"b"		"b"												
				"t"		"t"												
				"tʰ"		"tʰ"												
				"d"		"d"												
				"t̠ʃ"		"t̠ʃ"												
				"t̠ʃʰ"		"t̠ʃʰ"												
				"d̠ʒ"		"d̠ʒ"												
				"k"		"k"												
				"kʰ"		"kʰ"												
				"ɡ"		"ɡ"												
				"ʔ"	"""/ʔ/ is the only consonant which may appear in syllable coda"""	"ʔ"												
				"t̪θ̪"	"""/θ/ is commonly realised as dental affricate [t̪θ]"""	"t̪θ̪"												
				"d̪ð̪"	"""/ð/ is commonly realised as dental affricate [d̪ð]"""	"d̪ð̪"												
				"s"		"s"												
				"sʰ"		"sʰ"												
				"z"		"z"												
				"ʃ"		"ʃ"												
				"h"		"h"												
				"m̥m"	"c"	"m̥m"												
